neighborhood,building_class_category,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,latitude,longitude,full_address,has_elevator,has_commercial,has_residential,land_to_building_ratio,price_per_square_foot,age_of_property,price_per_unit,price_per_residential_unit,price_per_commercial_unit,price_per_land_square_foot,sale_month,sale_quarter,property_type
EAST VILLAGE,14 RENTALS - 4-10 UNIT,99 EAST 3RD STREET,,10003,4.0,1.0,5.0,962.0,4163.0,1910.0,4824832.0,2024-01-30,40.7247489,-73.9876308,"99 EAST 3RD STREET, New York, New York 10003",0,1,1,0.23108335335094884,1158.9795820321883,114.0,964966.4,1206208.0,4824832.0,5015.41787941788,1,4,mixed-use
EAST VILLAGE,14 RENTALS - 4-10 UNIT,105 1 AVENUE,,10003,3.0,1.0,4.0,2208.0,6311.0,1910.0,13750000.0,2023-05-01,40.7268053,-73.98629884484063,"105 1 AVENUE, New York, New York 10003",0,1,1,0.3498653145301854,2178.735541118682,114.0,3437500.0,4583333.333333333,13750000.0,6227.355072463768,5,2,mixed-use
EAST VILLAGE,14 RENTALS - 4-10 UNIT,171 1 AVENUE,,10003,4.0,1.0,5.0,2317.0,10425.0,1900.0,9400000.0,2023-10-06,40.7291869,-73.9843851,"171 1 AVENUE, New York, New York 10003",0,1,1,0.22225419664268586,901.6786570743405,124.0,1880000.0,2350000.0,9400000.0,4056.970220112214,10,3,mixed-use
EAST VILLAGE,21 OFFICE BUILDINGS,137 2 AVENUE,,10003,0.0,1.0,1.0,5980.0,17066.0,1900.0,18950000.0,2023-07-25,40.7330958,-73.9843953,"137 2 AVENUE, New York, New York 10003",0,1,0,0.3504043126684636,1110.3949373022383,124.0,18950000.0,,18950000.0,3168.896321070234,7,2,commercial
EAST VILLAGE,35 INDOOR PUBLIC AND CULTURAL FACILITIES,287 EAST 10TH STREET,,10009,0.0,3.0,3.0,9067.0,50000.0,1917.0,16000000.0,2023-11-30,40.7280242,-73.9823891,"287 EAST 10TH STREET, New York, New York 10009",0,1,0,0.18134,320.0,107.0,5333333.333333333,,5333333.333333333,1764.6410058453732,11,4,commercial
EAST VILLAGE,37 RELIGIOUS FACILITIES,429 EAST 12TH STREET,,10009,0.0,0.0,0.0,1701.0,4364.0,1900.0,2755000.0,2023-10-05,40.72957095,-73.98209301264893,"429 EAST 12TH STREET, New York, New York 10009",0,0,0,0.3897800183318057,631.3015582034831,124.0,,,,1619.6355085243974,10,3,coop/other
FASHION,21 OFFICE BUILDINGS,356 WEST 40TH STREET,,10018,0.0,6.0,6.0,1886.0,10980.0,1920.0,838000.0,2024-01-12,40.7568395,-73.99324830782962,"356 WEST 40TH STREET, New York, New York 10018",0,1,0,0.17176684881602913,76.32058287795992,104.0,139666.66666666666,,139666.66666666666,444.32661717921525,1,4,commercial
FASHION,21 OFFICE BUILDINGS,229 WEST 28TH STREET,,10001,0.0,10.0,10.0,12135.0,156500.0,1917.0,35150000.0,2024-01-18,40.7480246,-73.9947822,"229 WEST 28TH STREET, New York, New York 10001",0,1,0,0.07753993610223642,224.60063897763578,107.0,3515000.0,,3515000.0,2896.580140090647,1,4,commercial
FASHION,21 OFFICE BUILDINGS,250 WEST 30TH STREET,,10001,0.0,1.0,1.0,4937.0,14811.0,1927.0,15875000.0,2023-12-22,40.74917875,-73.99472748214892,"250 WEST 30TH STREET, New York, New York 10001",0,1,0,0.3333333333333333,1071.8384984133415,97.0,15875000.0,,15875000.0,3215.5154952400244,12,4,commercial
FASHION,21 OFFICE BUILDINGS,261 WEST 34TH STREET,,10001,0.0,0.0,0.0,7858.0,35111.0,2018.0,16845257.0,2023-10-19,40.7521775,-73.99268666083141,"261 WEST 34TH STREET, New York, New York 10001",0,0,0,0.22380450571046112,479.7714961123295,6.0,,,,2143.707940951896,10,3,coop/other
FASHION,21 OFFICE BUILDINGS,246 WEST 38TH STREET,600,10018,0.0,15.0,15.0,7406.0,96275.0,1922.0,3895000.0,2023-03-29,40.753972000000005,-73.9904626,"246 WEST 38TH STREET, New York, New York 10018",0,1,0,0.07692547390288237,40.45702414957154,102.0,259666.66666666666,,259666.66666666666,525.9249257358898,3,1,commercial
FASHION,21 OFFICE BUILDINGS,875 AVENUE OF THE AMER,,10001,0.0,280.0,280.0,9875.0,214349.0,1926.0,92500000.0,2023-06-30,,,"875 AVENUE OF THE AMER, New York, New York 10001",0,1,0,0.04606972740717241,431.53921875072893,98.0,330357.14285714284,,330357.14285714284,9367.088607594937,6,2,commercial
FASHION,21 OFFICE BUILDINGS,150 WEST 36TH STREET,,10018,0.0,5.0,5.0,2469.0,10395.0,1920.0,6500000.0,2023-08-08,40.7517911,-73.98895751840908,"150 WEST 36TH STREET, New York, New York 10018",0,1,0,0.23751803751803752,625.3006253006253,104.0,1300000.0,,1300000.0,2632.6447954637506,8,3,commercial
FASHION,21 OFFICE BUILDINGS,260 5 AVENUE,9N,10001,0.0,29.0,29.0,5077.0,59870.0,1900.0,2325000.0,2023-11-10,40.750587,-73.9811078,"260 5 AVENUE, New York, New York 10001",0,1,0,0.08480040086854852,38.83414063804911,124.0,80172.41379310345,,80172.41379310345,457.9476068544416,11,4,commercial
FASHION,21 OFFICE BUILDINGS,25 WEST 31ST STREET,10FL,10001,0.0,22.0,22.0,5760.0,60133.0,1912.0,4200000.0,2024-02-06,40.74730145,-73.98726463767132,"25 WEST 31ST STREET, New York, New York 10001",0,1,0,0.09578767066336288,69.84517652536877,112.0,190909.0909090909,,190909.0909090909,729.1666666666666,2,4,commercial
FASHION,21 OFFICE BUILDINGS,48 WEST 37TH STREET,,10018,0.0,28.0,28.0,10288.0,130625.0,1926.0,3680000.0,2023-05-31,40.7512307,-73.9855436,"48 WEST 37TH STREET, New York, New York 10018",0,1,0,0.0787598086124402,28.172248803827753,98.0,131428.57142857142,,131428.57142857142,357.6982892690513,5,2,commercial
FASHION,22 STORE BUILDINGS,110 WEST 32ND STREET,,10001,0.0,5.0,5.0,12312.0,102145.0,1920.0,37000000.0,2023-09-15,40.7485623,-73.9895999106325,"110 WEST 32ND STREET, New York, New York 10001",0,1,0,0.1205345342405404,362.23016300357335,104.0,7400000.0,,7400000.0,3005.198180636777,9,3,commercial
FASHION,22 STORE BUILDINGS,49 WEST 29TH STREET,,10001,0.0,2.0,2.0,750.0,749.0,1915.0,2400000.0,2023-07-25,40.74658015,-73.98956534999999,"49 WEST 29TH STREET, New York, New York 10001",0,1,0,1.0013351134846462,3204.272363150868,109.0,1200000.0,,1200000.0,3200.0,7,2,commercial
FASHION,26 OTHER HOTELS,232 WEST 29TH STREET,,10001,0.0,1.0,1.0,10825.0,71541.0,2005.0,317792634.0,2023-11-28,40.74833995,-73.99461662161184,"232 WEST 29TH STREET, New York, New York 10001",0,1,0,0.15131183517144015,4442.10500272571,19.0,317792634.0,,317792634.0,29357.287205542725,11,4,commercial
