building_class_category,sale_quarter,num_sales,avg_sale_price,median_sale_price,qoq_price_change_pct
21 OFFICE BUILDINGS,1,9,55842222.222222224,77500000.0,0.0
21 OFFICE BUILDINGS,2,18,33695613.833333336,18225000.0,-0.7648387096774194
21 OFFICE BUILDINGS,3,14,30115853.0,12230000.0,-0.3289437585733882
21 OFFICE BUILDINGS,4,26,32657765.307692308,13937500.0,0.13961569910057237
22 STORE BUILDINGS,1,10,35330325.0,6514625.0,0.0
22 STORE BUILDINGS,2,15,6572410.333333333,3900000.0,-0.40134696931903213
22 STORE BUILDINGS,3,18,13948416.666666666,13219750.0,2.389679487179487
22 STORE BUILDINGS,4,18,12941292.944444444,11250000.0,-0.14900054842186883
25 LUXURY HOTELS,1,1,1500000.0,1500000.0,0.0
25 LUXURY HOTELS,2,1,155798139.0,155798139.0,102.865426
25 LUXURY HOTELS,3,1,1500000.0,1500000.0,-0.9903721571411068
25 LUXURY HOTELS,4,5,149352395.6,57711000.0,37.474
26 OTHER HOTELS,1,2,30755286.5,30755286.5,0.0
26 OTHER HOTELS,2,3,10966700.0,10400000.0,-0.6618467527525715
26 OTHER HOTELS,3,3,11698996.666666666,14050000.0,0.35096153846153855
26 OTHER HOTELS,4,10,80256822.5,16962500.0,0.20729537366548034
27 FACTORIES,2,1,2800000.0,2800000.0,0.0
28 COMMERCIAL CONDOS,1,2,9000000.0,9000000.0,0.0
28 COMMERCIAL CONDOS,2,1,18000000.0,18000000.0,1.0
28 COMMERCIAL CONDOS,3,6,5219057.5,4847672.5,-0.7306848611111111
28 COMMERCIAL CONDOS,4,1,11000000.0,11000000.0,1.2691301856715773
29 COMMERCIAL GARAGES,1,2,19169000.0,19169000.0,0.0
29 COMMERCIAL GARAGES,3,2,10900000.0,10900000.0,-0.43137357191298453
29 COMMERCIAL GARAGES,4,2,2812500.0,2812500.0,-0.7419724770642202
30 WAREHOUSES,1,2,22850000.0,22850000.0,0.0
30 WAREHOUSES,2,1,3350000.0,3350000.0,-0.8533916849015317
30 WAREHOUSES,3,2,4390000.0,4390000.0,0.31044776119402995
31 COMMERCIAL VACANT LAND,1,2,67250000.0,67250000.0,0.0
31 COMMERCIAL VACANT LAND,2,6,17754457.166666668,8507169.5,-0.8734993382899628
31 COMMERCIAL VACANT LAND,3,4,57589382.5,10105391.0,0.18786759803010855
31 COMMERCIAL VACANT LAND,4,5,1009574.6,1191113.0,-0.8821309338748001
32 HOSPITAL AND HEALTH FACILITIES,3,1,29750000.0,29750000.0,0.0
33 EDUCATIONAL FACILITIES,1,1,4020000.0,4020000.0,0.0
33 EDUCATIONAL FACILITIES,2,3,6900000.0,5000000.0,0.24378109452736307
33 EDUCATIONAL FACILITIES,3,3,15373333.333333334,19000000.0,2.8
33 EDUCATIONAL FACILITIES,4,2,31333726.0,31333726.0,0.6491434736842105
35 INDOOR PUBLIC AND CULTURAL FACILITIES,3,1,130000.0,130000.0,0.0
35 INDOOR PUBLIC AND CULTURAL FACILITIES,4,1,16000000.0,16000000.0,122.07692307692308
37 RELIGIOUS FACILITIES,1,4,8825000.0,8000000.0,0.0
37 RELIGIOUS FACILITIES,2,1,2200000.0,2200000.0,-0.725
37 RELIGIOUS FACILITIES,3,2,2527500.0,2527500.0,0.14886363636363642
37 RELIGIOUS FACILITIES,4,3,11416666.666666666,14500000.0,4.736894164193868
38 ASYLUMS AND HOMES,1,2,27000000.0,27000000.0,0.0
